KEY                              ORT FİYAT  ORt KM      TOP ILAN   

civic - 2007
Enjoy                           76892       14152       32/32      
Excellence                      94293       13719       36/36      
Elite                           82934       20993       69/69      
Edition                         61704       8851        227/227    
benzin-lpg,benzin               66733       7857        319/319    
dizel                           82912       19819       439/439    
otomatik,yari-otomatik          83514       17901       457/457    
manuel                          64951       10301       301/301    

astra - 2017
Dynamic                         97775       1           6/6        
Edition                         62810       1           19/19      
benzin-lpg,benzin               62810       1           23/23      
dizel                           105950      1           2/2        
otomatik,yari-otomatik          98930       1           5/5        
manuel                          62810       1           20/20      
